Nome,Pos,Sono,Stress,Fadiga,DOMS,DORES MUSCULARES,VOLUME,Rpe,CARGA
André Lopes,DC,4,5,4,2,3,75,4,300
Bruno Martins,DC,4,5,5,3,3,75,4,300
Bruno Ribeiro,MC,6,4,4,3,3,75,2,150
Carlos Oliveira,MC,5,4,4,3,3,75,2,150
Diogo Martins,MC,4,5,5,2,3,75,4,300
Diogo Silva,EX,5,5,5,2,3,75,4,300
Gonçalo Jesus,EX,6,5,4,3,3,75,3,225
Gonçalo Pereira,EX,4,4,5,4,2,75,4,300
João Ferreira,MC,5,5,5,2,3,75,3,225
João Ribeiro,AV,6,4,4,3,3,75,3,225
Luís Martins,AV,6,4,4,3,2,75,4,300
Luís Santos,DC,4,5,4,2,2,75,3,225
Marco Pinto,MC,4,4,4,3,2,75,4,300
Miguel Gomes,EX,6,4,5,3,3,75,5,375
Miguel Pinto,AV,5,5,5,3,2,75,5,375
Rafael Rodrigues,AV,5,4,5,3,2,75,4,300
Ricardo Carvalho,GR,4,4,5,3,3,75,3,225
Tiago Gonçalves,DC,6,5,5,3,3,75,3,225
Tiago Ribeiro,MC,4,5,5,3,3,75,3,225
Tiago Silva,EX,4,4,5,3,3,75,3,225
